Year,st,State,Gini,,,
1920,35,North Dakota,0.29,,,
1920,36,Ohio,0.39,,,
1920,37,Oklahoma,0.39,,,
1920,38,Oregon,0.36,,,
1920,39,Pennsylvania,0.43,,,
1920,40,Rhode Island,0.48,,,
1920,41,South Carolina,0.35,,,
1920,42,South Dakota,0.33,,,
1920,43,Tennessee,0.40,,,
1920,44,Texas,0.34,,,
1920,45,Utah,0.29,,,
1920,46,Vermont,0.40,,,
1920,47,Virginia,0.36,,,
1920,48,Washington,0.32,,,
1920,49,West Virginia,0.34,,,
1920,50,Wisconsin,0.39,,,
1920,51,Wyoming,0.24,,,
1921,0,United States,0.41,,,
1921,1,Alabama,0.34,,,
1921,3,Arizona,0.23,,,
1921,4,Arkansas,0.35,,,
1921,5,California,0.40,,,
1921,6,Colorado,0.39,,,
1921,7,Connecticut,0.44,,,
1921,8,Delaware,0.40,,,
1921,9,District of Columbia,0.40,,,
1921,10,Florida,0.40,,,
1921,11,Georgia,0.37,,,
1921,13,Idaho,0.29,,,
1921,14,Illinois,0.40,,,
1921,15,Indiana,0.35,,,
1921,16,Iowa,0.32,,,
1921,17,Kansas,0.36,,,
1921,18,Kentucky,0.39,,,
1921,19,Louisiana,0.38,,,
1921,20,Maine,0.39,,,
1921,21,Maryland,0.44,,,
1921,22,Massachusetts,0.44,,,
1921,23,Michigan,0.41,,,
1921,24,Minnesota,0.38,,,
1921,25,Mississippi,0.41,,,
1921,26,Missouri,0.40,,,
1921,27,Montana,0.31,,,
1921,28,Nebraska,0.37,,,
1921,29,Nevada,0.31,,,
1921,30,New Hampshire,0.38,,,
1921,31,New Jersey,0.42,,,
1921,32,New Mexico,0.31,,,
1921,33,New York,0.48,,,
1921,34,North Carolina,0.38,,,
1921,35,North Dakota,0.31,,,
1921,36,Ohio,0.40,,,
1921,37,Oklahoma,0.35,,,
1921,38,Oregon,0.37,,,
1921,39,Pennsylvania,0.41,,,
1921,40,Rhode Island,0.47,,,
1921,41,South Carolina,0.35,,,
1921,42,South Dakota,0.35,,,
1921,43,Tennessee,0.40,,,
1921,44,Texas,0.36,,,
1921,45,Utah,0.33,,,
1921,46,Vermont,0.40,,,
1921,47,Virginia,0.36,,,
1921,48,Washington,0.39,,,
1921,49,West Virginia,0.36,,,
1921,50,Wisconsin,0.41,,,
1921,51,Wyoming,0.31,,,
1922,0,United States,0.44,,,
1922,1,Alabama,0.37,,,
1922,3,Arizona,0.33,,,
1922,4,Arkansas,0.39,,,
1922,5,California,0.41,,,
1922,6,Colorado,0.41,,,
1922,7,Connecticut,0.44,,,
1922,8,Delaware,0.39,,,
1922,9,District of Columbia,0.41,,,
1922,10,Florida,0.42,,,
1922,11,Georgia,0.38,,,
1922,13,Idaho,0.30,,,
1922,14,Illinois,0.45,,,
1922,15,Indiana,0.37,,,
1922,16,Iowa,0.31,,,
1922,17,Kansas,0.37,,,
1922,18,Kentucky,0.41,,,
1922,19,Louisiana,0.38,,,
1922,20,Maine,0.41,,,
1922,21,Maryland,0.45,,,
1922,22,Massachusetts,0.49,,,
1922,23,Michigan,0.43,,,
1922,24,Minnesota,0.40,,,
1922,25,Mississippi,0.39,,,
1922,26,Missouri,0.42,,,
1922,27,Montana,0.32,,,
1922,28,Nebraska,0.37,,,
1922,29,Nevada,0.30,,,
1922,30,New Hampshire,0.41,,,
1922,31,New Jersey,0.44,,,
1922,32,New Mexico,0.32,,,
1922,33,New York,0.51,,,
1922,34,North Carolina,0.38,,,
1922,35,North Dakota,0.32,,,
1922,36,Ohio,0.42,,,
1922,37,Oklahoma,0.42,,,
1922,38,Oregon,0.39,,,
1922,39,Pennsylvania,0.45,,,
1922,40,Rhode Island,0.48,,,
1922,41,South Carolina,0.36,,,
1922,42,South Dakota,0.33,,,
1922,43,Tennessee,0.41,,,
1922,44,Texas,0.37,,,
1922,45,Utah,0.34,,,
1922,46,Vermont,0.42,,,
1922,47,Virginia,0.38,,,
1922,48,Washington,0.34,,,
1922,49,West Virginia,0.39,,,
1922,50,Wisconsin,0.41,,,
1922,51,Wyoming,0.34,,,
1923,0,United States,0.42,,,
1923,1,Alabama,0.38,,,
1923,3,Arizona,0.32,,,
1923,4,Arkansas,0.38,,,
1923,5,California,0.41,,,
1923,6,Colorado,0.38,,,
1923,7,Connecticut,0.44,,,
1923,8,Delaware,0.42,,,
1923,9,District of Columbia,0.47,,,
1923,10,Florida,0.42,,,
1923,11,Georgia,0.37,,,
1923,13,Idaho,0.30,,,
1923,14,Illinois,0.42,,,
1923,15,Indiana,0.35,,,
1923,16,Iowa,0.33,,,
1923,17,Kansas,0.32,,,
1923,18,Kentucky,0.40,,,
1923,19,Louisiana,0.39,,,
1923,20,Maine,0.40,,,
1923,21,Maryland,0.47,,,
1923,22,Massachusetts,0.45,,,
1923,23,Michigan,0.40,,,
1923,24,Minnesota,0.41,,,
1923,25,Mississippi,0.39,,,
1923,26,Missouri,0.41,,,
1923,27,Montana,0.30,,,
1923,28,Nebraska,0.35,,,
1923,29,Nevada,0.30,,,
1923,30,New Hampshire,0.37,,,
1923,31,New Jersey,0.44,,,
1923,32,New Mexico,0.30,,,
1923,33,New York,0.48,,,
1923,34,North Carolina,0.40,,,
1923,35,North Dakota,0.30,,,
1923,36,Ohio,0.39,,,
1923,37,Oklahoma,0.38,,,
1923,38,Oregon,0.35,,,
1923,39,Pennsylvania,0.43,,,
1923,40,Rhode Island,0.44,,,
1923,41,South Carolina,0.41,,,
1923,42,South Dakota,0.32,,,
1923,43,Tennessee,0.39,,,
1923,44,Texas,0.36,,,
1923,45,Utah,0.34,,,
1923,46,Vermont,0.40,,,
1923,47,Virginia,0.36,,,
1923,48,Washington,0.33,,,
1923,49,West Virginia,0.36,,,
1923,50,Wisconsin,0.38,,,
1923,51,Wyoming,0.31,,,
1924,0,United States,0.44,,,
1924,1,Alabama,0.39,,,
1924,3,Arizona,0.34,,,
1924,4,Arkansas,0.38,,,
1924,5,California,0.42,,,
1924,6,Colorado,0.40,,,
1924,7,Connecticut,0.48,,,
1924,8,Delaware,0.49,,,
1924,9,District of Columbia,0.42,,,
1924,10,Florida,0.47,,,
1924,11,Georgia,0.39,,,
